Month,MEOW,Mth_Mesozoo_mgC_m3,Mth_Mesozoo_sd,Mesozoo_mgC_m3,Mesozoo_sd
Jan,Agulhas,901.6327692720503,376.70041969401547,827.0422218614509,284.9650011716832
Feb,Agulhas,872.2541667894319,376.70447603917785,827.0422218614509,284.9650011716832
Mar,Agulhas,869.4480404869395,359.68392623220524,827.0422218614509,284.9650011716832
Apr,Agulhas,837.1127739911873,265.33819750596393,827.0422218614509,284.9650011716832
May,Agulhas,760.2626748776769,165.820413988692,827.0422218614509,284.9650011716832
Jun,Agulhas,682.5554858310461,104.1814529453222,827.0422218614509,284.9650011716832
Jul,Agulhas,656.9958818934297,112.73232456309017,827.0422218614509,284.9650011716832
Aug,Agulhas,683.504224505315,105.80277822812435,827.0422218614509,284.9650011716832
Sep,Agulhas,817.1901441143534,167.11470191545286,827.0422218614509,284.9650011716832
Oct,Agulhas,950.3920125223658,255.96797029905548,827.0422218614509,284.9650011716832
Nov,Agulhas,979.7285924988803,309.0608974408798,827.0422218614509,284.9650011716832
Dec,Agulhas,913.4298955547346,338.068796208013,827.0422218614509,284.9650011716832
Jan,Kuroshio,499.05375871398655,115.57426792361348,855.2250302661383,485.00948087046226
Feb,Kuroshio,534.5457407369831,140.5486425055939,855.2250302661383,485.00948087046226
Mar,Kuroshio,778.4835888661969,229.92902729035683,855.2250302661383,485.00948087046226
Apr,Kuroshio,1279.4011435270465,556.7993983781638,855.2250302661383,485.00948087046226
May,Kuroshio,1414.8848107743638,813.3281218994173,855.2250302661383,485.00948087046226
Jun,Kuroshio,1081.6048645564567,621.4039370017014,855.2250302661383,485.00948087046226
Jul,Kuroshio,847.6243405999373,380.78196600791983,855.2250302661383,485.00948087046226
Aug,Kuroshio,773.7648516901079,319.39320928445045,855.2250302661383,485.00948087046226
Sep,Kuroshio,803.0427550181031,325.1077449802153,855.2250302661383,485.00948087046226
Oct,Kuroshio,852.9445478154239,326.10189265766684,855.2250302661383,485.00948087046226
Nov,Kuroshio,785.4042530231789,237.59055679836925,855.2250302661383,485.00948087046226
Dec,Kuroshio,611.9457078718817,131.70809116339598,855.2250302661383,485.00948087046226
