Month,WBC,Mth_Mesozoo_mgC_m3,Mth_Mesozoo_sd,Mesozoo_mgC_m3,Mesozoo_sd
Jan,Agulhas,766.7831328988875,187.32212116334006,733.4794166451117,177.3429740913857
Feb,Agulhas,738.8658996892202,199.37665456623458,733.4794166451117,177.3429740913857
Mar,Agulhas,735.8276551189883,195.52790548842856,733.4794166451117,177.3429740913857
Apr,Agulhas,731.9077543518297,166.82571684686195,733.4794166451117,177.3429740913857
May,Agulhas,694.4009161184839,125.2274269669475,733.4794166451117,177.3429740913857
Jun,Agulhas,649.7963094103774,88.71281787865436,733.4794166451117,177.3429740913857
Jul,Agulhas,628.3198349050052,90.50889940389486,733.4794166451117,177.3429740913857
Aug,Agulhas,650.3006230752561,80.76863753115938,733.4794166451117,177.3429740913857
Sep,Agulhas,740.7980215495253,125.29180737273191,733.4794166451117,177.3429740913857
Oct,Agulhas,829.4661675297325,191.18623907873305,733.4794166451117,177.3429740913857
Nov,Agulhas,843.0794402437525,228.26391724603207,733.4794166451117,177.3429740913857
Dec,Agulhas,792.2072448502818,207.21822012863808,733.4794166451117,177.3429740913857
Jan,EAC,710.5261933728588,266.21153038238083,672.1820557358897,242.3864295300867
Feb,EAC,693.5095367195593,269.9079646093281,672.1820557358897,242.3864295300867
Mar,EAC,665.8666912070119,210.5533493099908,672.1820557358897,242.3864295300867
Apr,EAC,651.8821862259489,184.3114559769913,672.1820557358897,242.3864295300867
May,EAC,622.8339289457957,154.33237661243066,672.1820557358897,242.3864295300867
Jun,EAC,570.5083042577699,125.80084667732129,672.1820557358897,242.3864295300867
Jul,EAC,534.5234463681937,117.63992449075559,672.1820557358897,242.3864295300867
Aug,EAC,575.4355394933795,133.30938085661418,672.1820557358897,242.3864295300867
Sep,EAC,687.5365081888446,204.24377429756,672.1820557358897,242.3864295300867
Oct,EAC,788.4100612817828,293.06640074015,672.1820557358897,242.3864295300867
Nov,EAC,803.2038441874848,332.0192356531977,672.1820557358897,242.3864295300867
Dec,EAC,761.9484285820458,306.66311535445516,672.1820557358897,242.3864295300867
Jan,Loop-Florida,567.6469587925332,187.9768424484999,659.8340909784054,324.9893749163909
Feb,Loop-Florida,577.0814755500544,198.9136812089724,659.8340909784054,324.9893749163909
Mar,Loop-Florida,636.9420506891638,259.8179289690593,659.8340909784054,324.9893749163909
Apr,Loop-Florida,718.5084905450988,386.18827953410795,659.8340909784054,324.9893749163909
May,Loop-Florida,710.7583080414652,409.82834409089577,659.8340909784054,324.9893749163909
Jun,Loop-Florida,694.4914910489,409.31498427227484,659.8340909784054,324.9893749163909
Jul,Loop-Florida,694.922428211348,418.141726817596,659.8340909784054,324.9893749163909
Aug,Loop-Florida,692.1860552229524,385.27124691939906,659.8340909784054,324.9893749163909
Sep,Loop-Florida,681.3972547727751,324.4042995297536,659.8340909784054,324.9893749163909
Oct,Loop-Florida,682.057778594705,292.41706329275087,659.8340909784054,324.9893749163909
Nov,Loop-Florida,658.5226247957164,245.56855501585824,659.8340909784054,324.9893749163909
Dec,Loop-Florida,603.4941754761523,204.8599558230117,659.8340909784054,324.9893749163909
Jan,Kuroshio,503.2485803573676,105.81236867234388,693.8791479562101,333.51454251518044
Feb,Kuroshio,535.1389633629391,123.82055511703699,693.8791479562101,333.51454251518044
Mar,Kuroshio,699.3582025111497,227.04002018139397,693.8791479562101,333.51454251518044
Apr,Kuroshio,985.5066038434404,520.0372469079949,693.8791479562101,333.51454251518044
May,Kuroshio,961.529458694291,581.2803703799907,693.8791479562101,333.51454251518044
Jun,Kuroshio,757.9178744005383,353.509550951311,693.8791479562101,333.51454251518044
Jul,Kuroshio,666.8715026294979,242.7841953813976,693.8791479562101,333.51454251518044
Aug,Kuroshio,641.0002538872247,223.30710402779502,693.8791479562101,333.51454251518044
Sep,Kuroshio,658.7052485739094,236.24453091526613,693.8791479562101,333.51454251518044
Oct,Kuroshio,689.5761631930501,243.73344362270473,693.8791479562101,333.51454251518044
Nov,Kuroshio,658.2075070839079,205.05630518763545,693.8791479562101,333.51454251518044
Dec,Kuroshio,569.4894169372034,128.45709980860173,693.8791479562101,333.51454251518044
Jan,Brazil,926.2103301176213,557.1768786997218,804.4922838487104,453.9611571250238
Feb,Brazil,820.6985979617028,445.620357365726,804.4922838487104,453.9611571250238
Mar,Brazil,753.4666900845438,343.1517626808252,804.4922838487104,453.9611571250238
Apr,Brazil,714.6380208391832,276.68209163329044,804.4922838487104,453.9611571250238
May,Brazil,656.1241927518419,213.06571271216293,804.4922838487104,453.9611571250238
Jun,Brazil,573.6336387373742,176.09204411171083,804.4922838487104,453.9611571250238
Jul,Brazil,547.2645100192262,188.40825819214228,804.4922838487104,453.9611571250238
Aug,Brazil,605.0123187849337,207.1274727717287,804.4922838487104,453.9611571250238
Sep,Brazil,813.8945760532145,301.91041106566826,804.4922838487104,453.9611571250238
Oct,Brazil,1022.3649429196172,464.14670965758376,804.4922838487104,453.9611571250238
Nov,Brazil,1148.8257670393964,646.2564150880963,804.4922838487104,453.9611571250238
Dec,Brazil,1071.7738208758724,677.3872992925175,804.4922838487104,453.9611571250238
